sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
963    0.0434783   5   17   14
964    0.0434783   5   17   15
965    0.0434783   5   17   16
966    0.0434783   5   17   17
967    0.0434783   5   17   18
968    0.0434783   5   17   19
969    0.0434783   5   17   20
970    0.0434783   5   18    4
971    0.0434783   5   18    5
972    0.0434783   5   18    6
973    0.0434783   5   18    7
974    0.0434783   5   18    8
975    0.0434783   5   18    9
976    0.0434783   5   18   10
977    0.0434783   5   18   11
978    0.0434783   5   18   12
979    0.0434783   5   18   13
980    0.0434783   5   18   14
981    0.0434783   5   18   15
982    0.0434783   5   18   16
983    0.0434783   5   18   17
984    0.0434783   5   18   18
985    0.0434783   5   18   19
986    0.0434783   5   18   20
987    0.0434783   5   19    4
988    0.0434783   5   19    5
989    0.0434783   5   19    6
990    0.0434783   5   19    7
991    0.0434783   5   19    8
992    0.0434783   5   19    9
993    0.0434783   5   19   10
994    0.0434783   5   19   11
995    0.0434783   5   19   12
996    0.0434783   5   19   13
997    0.0434783   5   19   14
998    0.0434783   5   19   15
999    0.0434783   5   19   16
1000   0.0434783   5   19   17
1001   0.0434783   5   19   18
1002   0.0434783   5   19   19
1003   0.0434783   5   19   20
